epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
50,2066,2.12066,2.63076,1.67951,0.57472,0.22931,0.23051,0.12721,2.33157,2.92675,1.59617,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383
51,2107.31,2.10763,2.60071,1.67946,0.52039,0.24402,0.23695,0.13551,2.30542,2.9805,1.59244,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
52,2148.32,2.09858,2.58131,1.67051,0.53786,0.23642,0.23025,0.12934,2.28584,2.95913,1.57074,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
53,2190.87,2.09778,2.60599,1.6678,0.50819,0.25562,0.2302,0.12981,2.29793,2.89974,1.56306,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
54,2232.18,2.09271,2.57261,1.67631,0.55955,0.25477,0.23585,0.12743,2.32159,2.9171,1.59898,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251
55,2273.29,2.08995,2.54849,1.65162,0.54577,0.2534,0.23234,0.13225,2.30459,2.86552,1.56637,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
56,2315.17,2.10836,2.60152,1.66018,0.56745,0.24287,0.22803,0.12884,2.2742,2.93186,1.56483,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
57,2356.79,2.09319,2.58471,1.66084,0.59228,0.24821,0.22071,0.12314,2.3191,2.9422,1.5624,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
58,2396.99,2.0802,2.56582,1.63705,0.53842,0.24044,0.23149,0.1337,2.2879,2.85719,1.5611,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
59,2438.73,2.07959,2.55676,1.65211,0.53374,0.24219,0.23201,0.13253,2.29225,2.91031,1.54816,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
