epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
72,46491,0.98529,0.61416,1.11828,0.44089,0.35212,0.30878,0.21253,2.26938,3.30346,2.18021,0.0124275,0.0041425,0.0124275,0.0041425,0.0124275,0.0041425,0.0124275,0.0041425
73,47136.4,0.97394,0.6072,1.1095,0.44577,0.35043,0.30831,0.21214,2.27117,3.31308,2.18367,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
74,47778.1,0.96288,0.60126,1.10202,0.43984,0.34949,0.30674,0.21151,2.27397,3.32012,2.1946,0.0119325,0.0039775,0.0119325,0.0039775,0.0119325,0.0039775,0.0119325,0.0039775
75,48423.2,0.95291,0.59316,1.09783,0.41892,0.34493,0.30371,0.21073,2.27665,3.33124,2.20447,0.011685,0.003895,0.011685,0.003895,0.011685,0.003895,0.011685,0.003895
76,49065.3,0.93845,0.58326,1.08658,0.41902,0.34689,0.30592,0.21139,2.27596,3.33466,2.20664,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125
77,49708.4,0.93372,0.57417,1.08416,0.41864,0.34493,0.30172,0.211,2.27563,3.34368,2.21167,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
78,50350.6,0.92396,0.56749,1.08111,0.4233,0.34459,0.30292,0.21065,2.2781,3.35308,2.21088,0.0109425,0.0036475,0.0109425,0.0036475,0.0109425,0.0036475,0.0109425,0.0036475
79,50994.5,0.92378,0.5686,1.07695,0.42373,0.34429,0.30342,0.21089,2.27935,3.35898,2.21454,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
80,51638.1,0.91112,0.55959,1.07487,0.42494,0.34579,0.30498,0.21099,2.28225,3.36835,2.21727,0.0104475,0.0034825,0.0104475,0.0034825,0.0104475,0.0034825,0.0104475,0.0034825
81,52279.5,0.90339,0.55149,1.06704,0.42436,0.35026,0.30554,0.21105,2.28538,3.37013,2.22103,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
82,52923.3,0.89713,0.54471,1.06276,0.43257,0.34832,0.30599,0.21067,2.2887,3.37582,2.2205,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175
83,53565.8,0.89438,0.54228,1.05868,0.42745,0.34903,0.30547,0.21099,2.28559,3.38937,2.21861,0.009705,0.003235,0.009705,0.003235,0.009705,0.003235,0.009705,0.003235
84,54208.4,0.87782,0.53229,1.0536,0.41316,0.35324,0.30543,0.21121,2.28354,3.38989,2.21684,0.0094575,0.0031525,0.0094575,0.0031525,0.0094575,0.0031525,0.0094575,0.0031525
85,54850.6,0.87188,0.53002,1.051,0.40715,0.35655,0.30526,0.21108,2.28476,3.39969,2.22045,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
86,55494.8,0.86481,0.52341,1.04574,0.40928,0.35655,0.30477,0.21126,2.28637,3.40454,2.22163,0.0089625,0.0029875,0.0089625,0.0029875,0.0089625,0.0029875,0.0089625,0.0029875
87,56137.4,0.86072,0.51845,1.03952,0.40694,0.35714,0.30461,0.21092,2.28865,3.40862,2.22241,0.008715,0.002905,0.008715,0.002905,0.008715,0.002905,0.008715,0.002905
88,56780.6,0.84656,0.51132,1.03658,0.40408,0.35721,0.30427,0.21093,2.29239,3.41259,2.22584,0.0084675,0.0028225,0.0084675,0.0028225,0.0084675,0.0028225,0.0084675,0.0028225
89,57423.3,0.83886,0.5023,1.02769,0.40827,0.3567,0.3044,0.21103,2.29404,3.42765,2.23171,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
90,58067.4,0.83157,0.49961,1.02319,0.407,0.35611,0.30393,0.21088,2.29583,3.43349,2.23481,0.0079725,0.0026575,0.0079725,0.0026575,0.0079725,0.0026575,0.0079725,0.0026575
