epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
54,5389.29,1.92573,2.26491,1.61949,0.54563,0.27377,0.25905,0.15736,2.25705,2.65483,1.59567,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251
55,5490.81,1.92501,2.23381,1.59871,0.54391,0.29486,0.27072,0.16395,2.26167,2.64384,1.57564,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
56,5590.3,1.93804,2.29017,1.60132,0.30098,0.30007,0.26906,0.15908,2.22349,2.68913,1.57606,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
57,5689.89,1.91905,2.26215,1.60869,0.5313,0.27562,0.26438,0.1585,2.24194,2.67023,1.56978,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
58,5789.88,1.89886,2.24392,1.58765,0.54968,0.2981,0.27586,0.15941,2.26032,2.69283,1.56938,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
59,5889.81,1.9063,2.22651,1.60179,0.51258,0.31011,0.27397,0.16882,2.24102,2.69324,1.58549,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
60,5989.64,1.88899,2.22035,1.5828,0.46743,0.30219,0.27232,0.16503,2.20012,2.62218,1.55187,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053
61,6089.71,1.89037,2.19195,1.58166,0.31556,0.30007,0.27589,0.16978,2.2163,2.64408,1.55011,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
62,6189.86,1.87253,2.21539,1.57433,0.56119,0.29564,0.27172,0.16734,2.22628,2.62852,1.55195,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987
63,6290.45,1.89348,2.1738,1.57511,0.53871,0.30018,0.27098,0.16923,2.24965,2.62314,1.58068,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
64,6390.4,1.86457,2.16618,1.5567,0.37626,0.29618,0.2686,0.167,2.23998,2.66962,1.57321,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
65,6490.47,1.86049,2.15531,1.55991,0.5901,0.28485,0.28016,0.17418,2.22118,2.58306,1.5448,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
66,6590.57,1.86304,2.16772,1.56097,0.40567,0.3062,0.27541,0.17473,2.22754,2.64385,1.55507,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
67,6690.67,1.85051,2.11418,1.54918,0.41504,0.30321,0.2808,0.17225,2.20627,2.57743,1.54705,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
68,6790.76,1.85283,2.11313,1.57455,0.32945,0.31375,0.28331,0.17531,2.20059,2.55882,1.54713,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789
69,6890.43,1.85617,2.11039,1.54741,0.54064,0.30088,0.27617,0.17106,2.20462,2.57317,1.56287,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
